"Tabla","Columna","Tipo de Dato","Longitud","Permite Nulos","Valor por Defecto"
"advertisements","id_advertisements","integer","null","NO","nextval('advertisements_id_advertisements_seq'::regclass)"
"advertisements","title","text","null","NO","null"
"advertisements","description","text","null","NO","null"
"advertisements","status","text","null","NO","null"
"advertisements","issue_date","date","null","NO","null"
"advertisements","expiration_date","date","null","NO","null"
"advertisements","departments","text","null","YES","null"
"departments","id_department","integer","null","NO","nextval('departments_id_department_seq'::regclass)"
"departments","name_department","text","null","NO","null"
"employees","id_employee","integer","null","NO","nextval('employees_id_employee_seq'::regclass)"
"employees","employeename","text","null","NO","null"
"employees","email","text","null","NO","null"
"employees","department","integer","null","NO","null"
"employees","subdepartment","integer","null","YES","null"
"employees","phonenumber","text","null","YES","null"
"employees","address","text","null","YES","null"
"employees","status","text","null","NO","null"
"employees","password","text","null","NO","null"
"employees","role","text","null","NO","null"
"employees","force_password_reset","boolean","null","YES","false"
"employees","deleted_at","timestamp without time zone","null","YES","null"
"employees","qr_enabled","boolean","null","YES","true"
"employees","fingerprint_data","bytea","null","YES","null"
"employees","nfc_id","text","null","YES","null"
"employees","created_at","timestamp without time zone","null","YES","CURRENT_TIMESTAMP"
"employees","updated_by","integer","null","YES","null"
"employees","updated_at","timestamp without time zone","null","YES","now()"
"employees","created_by","integer","null","YES","null"
"horarios_empleados","id_horario","integer","null","NO","nextval('horarios_empleados_id_horario_seq'::regclass)"
"horarios_empleados","id_empleado","integer","null","YES","null"
"horarios_empleados","hora_entrada","time without time zone","null","NO","null"
"horarios_empleados","hora_salida","time without time zone","null","NO","null"
"horarios_empleados","descanso_inicio","time without time zone","null","YES","null"
"horarios_empleados","descanso_fin","time without time zone","null","YES","null"
"horarios_empleados","creado_en","timestamp without time zone","null","YES","now()"
"horarios_empleados","tolerancia_entrada","integer","null","YES","15"
"horarios_empleados","tolerancia_salida","integer","null","YES","15"
"horarios_empleados","fecha","date","null","NO","null"
"justificaciones_asistencia","id_justificacion","integer","null","NO","nextval('justificaciones_asistencia_id_justificacion_seq'::regclass)"
"justificaciones_asistencia","id_registro","integer","null","YES","null"
"justificaciones_asistencia","motivo","text","null","NO","null"
"justificaciones_asistencia","aprobado_por","integer","null","YES","null"
"justificaciones_asistencia","creado_en","timestamp without time zone","null","YES","now()"
"password_reset_tokens","id","integer","null","NO","nextval('password_reset_tokens_id_seq'::regclass)"
"password_reset_tokens","id_employee","integer","null","NO","null"
"password_reset_tokens","token","text","null","NO","null"
"password_reset_tokens","expiration","timestamp without time zone","null","NO","null"
"registros_asistencia","id_registro","integer","null","NO","nextval('registros_asistencia_id_registro_seq'::regclass)"
"registros_asistencia","id_empleado","integer","null","YES","null"
"registros_asistencia","fecha_registro","date","null","NO","null"
"registros_asistencia","hora_entrada","time without time zone","null","YES","null"
"registros_asistencia","hora_salida","time without time zone","null","YES","null"
"registros_asistencia","estado","text","null","YES","null"
"registros_asistencia","entro","boolean","null","YES","false"
"registros_asistencia","creado_en","timestamp without time zone","null","YES","now()"
"registros_asistencia","justificacion","text","null","YES","null"
"revoked_tokens","id","integer","null","NO","nextval('revoked_tokens_id_seq'::regclass)"
"revoked_tokens","token","text","null","NO","null"
"revoked_tokens","revocation_date","timestamp without time zone","null","NO","null"
"subdepartments","id_subdepartment","integer","null","NO","nextval('subdepartments_id_subdepartment_seq'::regclass)"
"subdepartments","id_department","integer","null","NO","null"
"subdepartments","name_subdepartment","text","null","NO","null"